docname,topic,proportion
blog_content_cleaned.csv:246,005,0.317236
blog_content_cleaned.csv:246,006,0.105929
blog_content_cleaned.csv:246,002,0.004972
blog_content_cleaned.csv:281,002,0.910295
blog_content_cleaned.csv:281,005,0.057256
blog_content_cleaned.csv:281,003,0.032449
blog_content_cleaned.csv:316,001,0.705432
blog_content_cleaned.csv:316,002,0.128893
blog_content_cleaned.csv:316,004,0.12254
blog_content_cleaned.csv:316,005,0.043135
blog_content_cleaned.csv:351,000,0.591436
blog_content_cleaned.csv:351,004,0.408564
blog_content_cleaned.csv:386,001,0.696317
blog_content_cleaned.csv:386,004,0.259832
blog_content_cleaned.csv:386,006,0.043852
blog_content_cleaned.csv:30,002,0.799495
blog_content_cleaned.csv:30,006,0.154431
blog_content_cleaned.csv:30,000,0.046074
blog_content_cleaned.csv:65,003,0.369432
blog_content_cleaned.csv:65,004,0.327473
blog_content_cleaned.csv:65,006,0.196293
blog_content_cleaned.csv:65,002,0.070486
blog_content_cleaned.csv:65,000,0.036316
blog_content_cleaned.csv:100,004,0.541423
blog_content_cleaned.csv:100,002,0.261207
blog_content_cleaned.csv:100,000,0.19737
blog_content_cleaned.csv:135,002,0.770404
blog_content_cleaned.csv:135,004,0.135988
blog_content_cleaned.csv:135,005,0.093608
blog_content_cleaned.csv:170,002,0.804606
blog_content_cleaned.csv:170,001,0.195394
blog_content_cleaned.csv:200,002,0.71808
blog_content_cleaned.csv:200,005,0.28192
blog_content_cleaned.csv:235,001,0.799409
blog_content_cleaned.csv:235,002,0.129698
blog_content_cleaned.csv:235,005,0.070893
blog_content_cleaned.csv:270,003,0.854036
blog_content_cleaned.csv:270,006,0.08935
blog_content_cleaned.csv:270,000,0.056614
blog_content_cleaned.csv:305,001,0.597816
blog_content_cleaned.csv:305,005,0.32571
blog_content_cleaned.csv:305,004,0.076474
blog_content_cleaned.csv:340,002,0.63036
blog_content_cleaned.csv:340,004,0.143984
blog_content_cleaned.csv:340,000,0.125682
blog_content_cleaned.csv:340,001,0.099974
blog_content_cleaned.csv:375,003,0.650642
blog_content_cleaned.csv:375,000,0.349358
blog_content_cleaned.csv:0,001,0.492287
blog_content_cleaned.csv:0,006,0.416715
blog_content_cleaned.csv:0,004,0.090998
blog_content_cleaned.csv:35,003,0.533381
blog_content_cleaned.csv:35,004,0.34267
blog_content_cleaned.csv:35,002,0.123949
blog_content_cleaned.csv:70,001,0.409383
blog_content_cleaned.csv:70,002,0.316255
blog_content_cleaned.csv:70,004,0.274362
blog_content_cleaned.csv:105,001,0.823142
blog_content_cleaned.csv:105,006,0.089966
blog_content_cleaned.csv:105,005,0.086892
blog_content_cleaned.csv:140,005,0.770015
blog_content_cleaned.csv:140,002,0.165589
blog_content_cleaned.csv:140,006,0.0402
blog_content_cleaned.csv:140,004,0.024196
blog_content_cleaned.csv:175,005,0.840859
blog_content_cleaned.csv:175,006,0.12625
blog_content_cleaned.csv:175,001,0.03289
blog_content_cleaned.csv:205,003,0.452714
blog_content_cleaned.csv:205,005,0.339811
blog_content_cleaned.csv:205,001,0.207475
blog_content_cleaned.csv:240,003,0.477451
blog_content_cleaned.csv:240,005,0.265554
blog_content_cleaned.csv:240,006,0.256995
blog_content_cleaned.csv:275,001,0.638652
blog_content_cleaned.csv:275,002,0.199646
blog_content_cleaned.csv:275,000,0.161702
blog_content_cleaned.csv:310,000,0.774995
blog_content_cleaned.csv:310,002,0.141544
blog_content_cleaned.csv:310,006,0.08346
blog_content_cleaned.csv:345,002,0.501356
blog_content_cleaned.csv:345,004,0.255633
blog_content_cleaned.csv:345,000,0.236499
blog_content_cleaned.csv:345,001,0.006512
blog_content_cleaned.csv:380,005,0.722941
blog_content_cleaned.csv:380,004,0.154842
blog_content_cleaned.csv:380,000,0.122217
blog_content_cleaned.csv:21,004,0.802333
blog_content_cleaned.csv:21,001,0.197667
blog_content_cleaned.csv:56,001,0.501997
blog_content_cleaned.csv:56,004,0.428648
blog_content_cleaned.csv:56,005,0.066558
blog_content_cleaned.csv:56,002,0.002797
blog_content_cleaned.csv:91,003,0.294487
blog_content_cleaned.csv:91,000,0.292902
blog_content_cleaned.csv:91,004,0.256862
blog_content_cleaned.csv:91,002,0.155749
blog_content_cleaned.csv:126,002,0.465803
blog_content_cleaned.csv:126,000,0.338124
